取得日時,テーブル番号,日付,時刻,水位[m],10分雨量[mm],降り始めからの雨量[mm]
2026-09-04 00:57:28,0,09/03,16:50,0.59,--,--
2026-09-04 00:57:28,0,09/03,16:40,0.59,--,--
2026-09-04 00:41:00,0,09/03,16:30,0.59,--,--
2026-09-04 00:41:00,0,09/03,16:20,0.59,--,--
2026-09-04 00:20:36,0,09/03,16:10,0.59,--,--
2026-09-04 00:20:36,0,09/03,16:00,0.59,--,--
2026-09-03 23:58:23,0,09/03,15:50,0.59,--,--
2026-09-03 23:58:23,0,09/03,15:40,0.59,--,--
2026-09-03 23:40:47,0,09/03,15:30,0.59,--,--
2026-09-03 23:40:47,0,09/03,15:20,0.59,--,--
2026-09-03 23:21:07,0,09/03,15:10,0.59,--,--
2026-09-03 23:21:07,0,09/03,15:00,0.59,--,--
2026-09-03 23:00:25,0,09/03,14:50,0.59,--,--
2026-09-03 23:00:25,0,09/03,14:40,0.59,--,--
2026-09-03 22:49:34,0,09/03,14:30,0.59,--,--
2026-09-03 22:32:20,0,09/03,14:20,0.59,--,--
2026-09-03 22:32:20,0,09/03,14:10,0.59,--,--
2026-09-03 22:12:50,0,09/03,14:00,0.59,--,--
2026-09-03 21:55:31,0,09/03,13:50,0.59,--,--
2026-09-03 21:55:31,0,09/03,13:40,0.59,--,--
2026-09-03 21:39:43,0,09/03,13:30,0.59,--,--
2026-09-03 21:39:43,0,09/03,13:20,0.59,--,--
2026-09-03 21:19:26,0,09/03,13:10,0.59,--,--
2026-09-03 21:19:26,0,09/03,13:00,0.59,--,--
2026-09-03 20:56:39,0,09/03,12:50,0.59,--,--
2026-09-03 20:56:39,0,09/03,12:40,0.59,--,--
2026-09-03 20:43:54,0,09/03,12:30,0.59,--,--
2026-09-03 20:29:50,0,09/03,12:20,0.59,--,--
2026-09-03 20:29:50,0,09/03,12:10,0.59,--,--
2026-09-03 20:11:44,0,09/03,12:00,0.59,--,--
2026-09-03 20:11:44,0,09/03,11:50,0.59,--,--
2026-09-03 19:51:16,0,09/03,11:40,0.59,--,--
2026-09-03 19:51:16,0,09/03,11:30,0.59,--,--
2026-09-03 19:40:20,0,09/03,11:20,0.59,--,--
2026-09-03 19:20:29,0,09/03,11:10,0.59,--,--
2026-09-03 19:20:29,0,09/03,11:00,0.59,--,--
2026-09-03 19:00:19,0,09/03,10:50,0.59,--,--
2026-09-03 19:00:19,0,09/03,10:40,0.59,--,--
2026-09-03 18:49:47,0,09/03,10:30,0.59,--,--
2026-09-03 18:32:09,0,09/03,10:20,0.59,--,--
2026-09-03 18:32:09,0,09/03,10:10,0.59,--,--
2026-09-03 18:13:11,0,09/03,10:00,0.59,--,--
2026-09-03 17:50:45,0,09/03,09:50,0.59,--,--
2026-09-03 17:50:45,0,09/03,09:40,0.59,--,--
2026-09-03 17:50:45,0,09/03,09:30,0.59,--,--
2026-09-03 17:34:46,0,09/03,09:20,0.59,--,--
2026-09-03 17:17:25,0,09/03,09:10,0.59,--,--
2026-09-03 17:17:25,0,09/03,09:00,0.59,--,--
2026-09-03 16:57:13,0,09/03,08:50,0.59,--,--
2026-09-03 16:57:13,0,09/03,08:40,0.59,--,--
2026-09-03 16:40:51,0,09/03,08:30,0.59,--,--
2026-09-03 16:40:51,0,09/03,08:20,0.59,--,--
2026-09-03 16:23:30,0,09/03,08:10,0.59,--,--
2026-09-03 16:01:59,0,09/03,08:00,0.59,--,--
2026-09-03 16:01:59,0,09/03,07:50,0.59,--,--
2026-09-03 16:01:59,0,09/03,07:40,0.59,--,--
2026-09-03 15:49:13,0,09/03,07:30,0.59,--,--
2026-09-03 15:29:39,0,09/03,07:20,0.59,--,--
2026-09-03 15:29:39,0,09/03,07:10,0.59,--,--
2026-09-03 15:03:33,0,09/03,07:00,0.59,--,--
2026-09-03 15:03:33,0,09/03,06:50,0.59,--,--
2026-09-03 14:48:49,0,09/03,06:40,0.59,--,--
2026-09-03 14:48:49,0,09/03,06:30,0.59,--,--
2026-09-03 14:14:57,0,09/03,06:20,0.59,--,--
2026-09-03 14:14:57,0,09/03,06:10,0.59,--,--
2026-09-03 14:14:57,0,09/03,06:00,0.59,--,--
2026-09-03 11:20:10,0,09/03,05:50,0.59,--,--
2026-09-03 11:20:10,0,09/03,05:40,0.59,--,--
2026-09-03 11:20:10,0,09/03,05:30,0.59,--,--
2026-09-03 11:20:10,0,09/03,05:20,0.59,--,--
2026-09-03 11:20:10,0,09/03,05:10,0.59,--,--
2026-09-03 11:20:10,0,09/03,05:00,0.59,--,--
2026-09-03 11:20:10,0,09/03,04:50,0.59,--,--
2026-09-03 11:20:10,0,09/03,04:40,0.59,--,--
2026-09-03 11:20:10,0,09/03,04:30,0.59,--,--
2026-09-03 11:20:10,0,09/03,04:20,0.59,--,--
2026-09-03 11:20:10,0,09/03,04:10,0.59,--,--
2026-09-03 11:20:10,0,09/03,04:00,0.59,--,--
2026-09-03 11:20:10,0,09/03,03:50,0.59,--,--
2026-09-03 11:20:10,0,09/03,03:40,0.59,--,--
2026-09-03 11:20:10,0,09/03,03:30,0.59,--,--
2026-09-03 11:20:10,0,09/03,03:20,0.59,--,--
2026-09-03 11:20:10,0,09/03,03:10,0.59,--,--
2026-09-03 11:20:10,0,09/03,03:00,0.59,--,--
2026-09-03 10:22:02,0,09/03,02:50,0.59,--,--
2026-09-03 10:22:02,0,09/03,02:40,0.59,--,--
2026-09-03 10:22:02,0,09/03,02:30,0.59,--,--
2026-09-03 10:22:02,0,09/03,02:20,0.59,--,--
2026-09-03 10:22:02,0,09/03,02:10,0.59,--,--
2026-09-03 10:22:02,0,09/03,02:00,0.59,--,--
2026-09-03 09:59:12,0,09/03,01:50,0.59,--,--
2026-09-03 09:59:12,0,09/03,01:40,0.59,--,--
2026-09-03 09:45:33,0,09/03,01:30,0.59,--,--
2026-09-03 09:23:57,0,09/03,01:20,0.59,--,--
2026-09-03 09:23:57,0,09/03,01:10,0.59,--,--
2026-09-03 08:57:07,0,09/03,01:00,0.59,--,--
2026-09-03 08:57:07,0,09/03,00:50,0.59,--,--
2026-09-03 08:57:07,0,09/03,00:40,0.59,--,--
2026-09-03 08:42:41,0,09/03,00:30,0.59,--,--
2026-09-03 08:42:41,0,09/03,00:20,0.59,--,--
2026-09-03 08:29:30,0,09/03,00:10,0.59,--,--
2026-09-03 08:15:39,0,09/02,24:00,0.59,--,--
2026-09-03 07:58:44,0,09/02,23:50,0.59,--,--
2026-09-03 07:58:44,0,09/02,23:40,0.59,--,--
2026-09-03 07:47:27,0,09/02,23:30,0.59,--,--
2026-09-03 07:33:29,0,09/02,23:20,0.59,--,--
2026-09-03 07:17:08,0,09/02,23:10,0.59,--,--
2026-09-03 07:17:08,0,09/02,23:00,0.59,--,--
2026-09-03 06:58:46,0,09/02,22:50,0.59,--,--
2026-09-03 06:58:46,0,09/02,22:40,0.59,--,--
2026-09-03 06:47:38,0,09/02,22:30,0.59,--,--
2026-09-03 06:31:32,0,09/02,22:20,0.59,--,--
2026-09-03 06:31:32,0,09/02,22:10,0.59,--,--
2026-09-03 06:17:09,0,09/02,22:00,0.59,--,--
2026-09-03 05:59:37,0,09/02,21:50,0.59,--,--
2026-09-03 05:59:37,0,09/02,21:40,0.59,--,--
2026-09-03 05:48:41,0,09/02,21:30,0.59,--,--
2026-09-03 05:33:49,0,09/02,21:20,0.59,--,--
2026-09-03 05:19:02,0,09/02,21:10,0.59,--,--
2026-09-03 05:19:02,0,09/02,21:00,0.59,--,--
2026-09-03 04:59:21,0,09/02,20:50,0.59,--,--
2026-09-03 04:59:21,0,09/02,20:40,0.59,--,--
2026-09-03 04:48:57,0,09/02,20:30,0.59,--,--
2026-09-03 04:37:44,0,09/02,20:20,0.59,--,--
2026-09-03 04:20:39,0,09/02,20:10,0.59,--,--
2026-09-03 04:20:39,0,09/02,20:00,0.59,--,--
2026-09-03 04:00:52,0,09/02,19:50,0.59,--,--
2026-09-03 04:00:52,0,09/02,19:40,0.59,--,--
2026-09-03 03:49:54,0,09/02,19:30,0.59,--,--
2026-09-03 03:34:16,0,09/02,19:20,0.59,--,--
2026-09-03 03:14:53,0,09/02,19:10,0.59,--,--
2026-09-03 03:14:53,0,09/02,19:00,0.59,--,--
2026-09-03 02:50:50,0,09/02,18:50,0.59,--,--
2026-09-03 02:50:50,0,09/02,18:40,0.59,--,--
2026-09-03 02:50:50,0,09/02,18:30,0.59,--,--
2026-09-03 02:39:10,0,09/02,18:20,0.59,--,--
2026-09-03 02:21:22,0,09/02,18:10,0.59,--,--
2026-09-03 02:21:22,0,09/02,18:00,0.59,--,--
2026-09-03 02:01:10,0,09/02,17:50,0.59,--,--
2026-09-03 02:01:10,0,09/02,17:40,0.59,--,--
2026-09-03 01:50:11,0,09/02,17:30,0.59,--,--
2026-09-03 01:35:13,0,09/02,17:20,0.59,--,--
2026-09-03 01:22:17,0,09/02,17:10,0.59,--,--
2026-09-03 01:22:17,0,09/02,17:00,0.59,--,--
2026-09-03 00:58:49,0,09/02,16:50,0.59,--,--
2026-09-03 00:58:49,0,09/02,16:40,0.59,--,--
2026-09-03 00:46:20,0,09/02,16:30,0.59,--,--
2026-09-03 00:27:36,0,09/02,16:20,0.59,--,--
2026-09-03 00:27:36,0,09/02,16:10,0.59,--,--
2026-09-03 00:02:34,0,09/02,16:00,0.59,--,--
2026-09-03 00:02:34,0,09/02,15:50,0.59,--,--
2026-09-02 23:42:22,0,09/02,15:40,0.59,--,--
2026-09-02 23:42:22,0,09/02,15:30,0.59,--,--
2026-09-02 23:42:22,0,09/02,15:20,0.59,--,--
2026-09-02 23:23:08,0,09/02,15:10,0.59,--,--
2026-09-02 23:01:54,0,09/02,15:00,0.59,--,--
2026-09-02 23:01:54,0,09/02,14:50,0.59,--,--
2026-09-02 23:01:54,0,09/02,14:40,0.59,--,--
2026-09-02 22:50:07,0,09/02,14:30,0.59,--,--
2026-09-02 22:34:15,0,09/02,14:20,0.59,--,--
2026-09-02 22:19:25,0,09/02,14:10,0.59,--,--
2026-09-02 22:19:25,0,09/02,14:00,0.59,--,--
2026-09-02 21:59:05,0,09/02,13:50,0.59,--,--
2026-09-02 21:59:05,0,09/02,13:40,0.59,--,--
2026-09-02 21:24:09,0,09/02,13:30,0.59,--,--
2026-09-02 21:24:09,0,09/02,13:20,0.59,--,--
2026-09-02 21:24:09,0,09/02,13:10,0.59,--,--
2026-09-02 20:58:51,0,09/02,13:00,0.59,--,--
2026-09-02 20:58:51,0,09/02,12:50,0.59,--,--
2026-09-02 20:58:51,0,09/02,12:40,0.59,--,--
2026-09-02 20:47:49,0,09/02,12:30,0.59,--,--
2026-09-02 20:33:03,0,09/02,12:20,0.59,--,--
2026-09-02 20:18:36,0,09/02,12:10,0.59,--,--
2026-09-02 20:18:36,0,09/02,12:00,0.59,--,--
2026-09-02 19:59:40,0,09/02,11:50,0.59,--,--
2026-09-02 19:59:40,0,09/02,11:40,0.59,--,--
2026-09-02 19:48:53,0,09/02,11:30,0.59,--,--
2026-09-02 19:32:33,0,09/02,11:20,0.59,--,--
2026-09-02 19:32:33,0,09/02,11:10,0.59,--,--
2026-09-02 19:16:52,0,09/02,11:00,0.59,--,--
2026-09-02 18:56:56,0,09/02,10:50,0.59,--,--
2026-09-02 18:56:56,0,09/02,10:40,0.59,--,--
2026-09-02 18:40:44,0,09/02,10:30,0.59,--,--
2026-09-02 18:40:44,0,09/02,10:20,0.59,--,--
2026-09-02 18:23:40,0,09/02,10:10,0.59,--,--
2026-09-02 18:01:00,0,09/02,10:00,0.59,--,--
2026-09-02 18:01:00,0,09/02,09:50,0.59,--,--
2026-09-02 18:01:00,0,09/02,09:40,0.59,--,--
2026-09-02 17:50:04,0,09/02,09:30,0.59,--,--
2026-09-02 17:32:57,0,09/02,09:20,0.59,--,--
2026-09-02 17:16:38,0,09/02,09:10,0.59,--,--
2026-09-02 17:16:38,0,09/02,09:00,0.59,--,--
2026-09-02 16:56:50,0,09/02,08:50,0.59,--,--
2026-09-02 16:56:50,0,09/02,08:40,0.59,--,--
2026-09-02 16:40:44,0,09/02,08:30,0.59,--,--
2026-09-02 16:40:44,0,09/02,08:20,0.59,--,--
2026-09-02 16:01:06,0,09/02,08:10,0.59,--,--
2026-09-02 16:01:06,0,09/02,08:00,0.59,--,--
2026-09-02 16:01:06,0,09/02,07:50,0.59,--,--
2026-09-02 16:01:06,0,09/02,07:40,0.59,--,--
2026-09-02 15:48:56,0,09/02,07:30,0.59,--,--
2026-09-02 15:28:40,0,09/02,07:20,0.59,--,--
2026-09-02 15:28:40,0,09/02,07:10,0.59,--,--
2026-09-02 14:59:31,0,09/02,07:00,0.59,--,--
2026-09-02 14:59:31,0,09/02,06:50,0.59,--,--
2026-09-02 14:59:31,0,09/02,06:40,0.59,--,--
2026-09-02 14:48:31,0,09/02,06:30,0.59,--,--
2026-09-02 14:35:02,0,09/02,06:20,0.59,--,--
2026-09-02 14:18:06,0,09/02,06:10,0.59,--,--
2026-09-02 14:18:06,0,09/02,06:00,0.59,--,--
2026-09-02 14:00:22,0,09/02,05:50,0.59,--,--
2026-09-02 14:00:22,0,09/02,05:40,0.59,--,--
2026-09-02 13:34:43,0,09/02,05:30,0.59,--,--
2026-09-02 13:34:43,0,09/02,05:20,0.59,--,--
2026-09-02 13:19:36,0,09/02,05:10,0.59,--,--
2026-09-02 13:19:36,0,09/02,05:00,0.59,--,--
2026-09-02 12:58:47,0,09/02,04:50,0.59,--,--
2026-09-02 12:58:47,0,09/02,04:40,0.59,--,--
2026-09-02 12:47:48,0,09/02,04:30,0.59,--,--
2026-09-02 12:32:20,0,09/02,04:20,0.59,--,--
2026-09-02 12:32:20,0,09/02,04:10,0.59,--,--
2026-09-02 12:17:28,0,09/02,04:00,0.59,--,--
2026-09-02 11:58:26,0,09/02,03:50,0.59,--,--
2026-09-02 11:58:26,0,09/02,03:40,0.59,--,--
2026-09-02 11:42:36,0,09/02,03:30,0.59,--,--
2026-09-02 11:42:36,0,09/02,03:20,0.59,--,--
2026-09-02 11:13:54,0,09/02,03:10,0.59,--,--
2026-09-02 11:13:54,0,09/02,03:00,0.59,--,--
